iso,geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude,total_rows,school_level
zaf,24753,24753,24753,24411,24753,0,0,0,24753,24753,24753,0
yem,16239,16239,0,0,16239,16237,16236,0,16239,16239,16239,0
tun,6037,6037,6037,0,6037,6037,6035,6027,6037,6037,6037,0
tan,9260,9260,9260,0,9260,9241,9212,9222,9260,9260,9260,0
som,453,453,453,0,453,453,453,0,453,453,453,0
sle,3330,3330,3330,0,3330,3328,3328,3328,3330,3330,3330,0
pry,7855,7855,0,0,7855,7855,7855,0,7855,7855,7855,0
png,1299,0,1297,0,1299,1299,1299,1299,1299,1299,1299,0
phl,42556,42556,42556,0,42556,42424,42424,42424,42556,42556,42556,0
per,164396,164396,164396,0,164396,164312,164367,0,164396,164396,164396,0
nig,98614,98614,98399,0,98614,98589,98586,0,98614,98614,98614,96911
mus,166,0,166,166,166,165,0,0,166,166,166,0
lby,4527,4527,4527,1168,4527,4527,0,0,4527,4527,4527,0
lao,3442,3442,3442,0,3442,3442,3440,0,3442,3442,3442,0
khm,10990,10990,10990,0,10990,10985,10981,10980,10990,10990,10990,0
kgz,3014,3014,2902,3014,3014,3004,2758,0,3014,3014,3014,0
ken,72019,72019,72019,0,72019,71963,71982,71835,72019,72019,72019,0
isr,28312,28312,28312,0,28312,23699,26040,0,28312,28312,28312,0
idn,214832,0,214832,214830,214832,214319,214766,0,214832,214832,214832,0
hnd,16733,16733,16733,16732,16733,16733,16733,0,16733,16733,16733,0
gtm,23802,23802,23802,23776,23802,23802,23802,0,23802,23802,23802,0
bol,14737,14737,12386,0,14737,14728,14728,14728,14737,14737,14737,0
bhr,324,324,324,0,324,324,0,0,324,324,324,0
bgd,29183,29183,15088,23950,29183,29183,29173,29173,29183,29183,29183,0
