geo_id,deped_id,school_name,adm0,address,adm1,adm2,adm3,longitude,latitude
BOL-001951,EstabEducativos.1952,ELIZARDO PEREZ DE CHILTAICO,BOL,,,,,-67.7617601838,-19.8935704349
BOL-001952,EstabEducativos.1953,ELIZARDO PEREZ DE CHILTAICO,BOL,,,,,-67.7620153205,-19.8935672115
BOL-002575,EstabEducativos.2576,CHALLUMA,BOL,,,,,-67.8869204579,-19.4566017399
BOL-011881,EstabEducativos.11882,ISLA SICUYA,BOL,,,,,-68.7843142208,-16.3910741984
BOL-011956,EstabEducativos.11957,PAJCHIRI,BOL,,,,,-68.6873347242,-16.3635298234
BOL-012066,EstabEducativos.12067,SUPICACHI,BOL,,,,,-68.7641907885,-16.2963426336
BOL-012182,EstabEducativos.12183,SAN PABLO DE TIQUINA,BOL,,,,,-68.8477991837,-16.2164443341
BOL-012422,EstabEducativos.12423,YAMPUPATA,BOL,,,,,-69.1270922924,-16.0681827359
BOL-012483,EstabEducativos.12484,,BOL,,,,,-68.8537152463,-16.0320004521
